Model ID,Chassis,Name,Threat Value,Unit Availability,Armor Rating,Hull,Structure,Actions,Gunnery Skill,Piloting Skill,Type,Height,Movement Primary,Movement Secondary,Added note,Notes Generic,Workflow brought over,Build notes,Role Primary,Role Secondary,MJH TV comments,Leagueless,In Brigand Release,Sensors,Description,Alternate Names,Stock Flag,Debut Year,Debut Notes
1,Spearhead Hunter,Spearhead Hunter,12,"GP (CMD), FS (CMD)",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""","yes, lions wrath",,,,Recon,Gear Destroyer,,No,Yes,"12""",,,Yes,1930,
2,Hunter,Hunter Gunner,7,"GP, SK, FS",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Trooper,,,Yes,Yes,"12""",,,,,
3,Hunter,Hunter UC,7,"GP, SK",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Infantry Destroyer,Tank Destroyer,,Yes,Yes,"12""",,,,,
4,Hunter,Assault Hunter,8,"GP, FS",6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Gear Destroyer,,,Yes,Yes,"12""",,,,,
5,Hunter,Destroyer Hunter,7,FS,6,4,2,1,3,3,Gear,"1.5""","W:5""","G:6""",,,,,Tank Destroyer,Trooper,,Yes,Yes,"12""",,Strike Hunter,,,
6,Hunter XMG,Hunter XMG,13,SK,6,4,2,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Assault,Gear Destroyer,,No,Yes,"12""",,,Yes,,
7,Hunter XMG,Rabid Hunter XMG,12,SK,6,4,2,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Assault,Gear Destroyer,,No,Yes,"12""",,,,,
8,Jaguar,Jaguar,11,"SK, FS, RC (CMD)",6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,,,No,Yes,"12""",,,Yes,,
9,Jaguar,Destroyer Jaguar,12,"SK, FS",6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Tank Destroyer,Strike,,No,Yes,"12""",,Strike Jaguar,,,
10,Jaguar,Flash Jaguar,13,SK,6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Sniper,,No,Yes,"12""",,,,,
11,Jaguar,Sniper Jaguar,12,"SK, FS",6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Sniper,,No,Yes,"12""",,Stalking Jaguar,,,
12,Jaguar,Assault Jaguar,12,SK,6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Gear Destroyer,,No,Yes,"12""",,,,,
13,Jaguar,Arrow Jaguar,13,SK,6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Tank Destroyer,,No,Yes,"12""",,,,,
14,Jaguar,Fire Jaguar,13,SK,6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Gear Destroyer,,No,Yes,"12""",,,,,
15,Leopard,Leopard,11,SK,6,3,3,1,3,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Gear Destroyer,,No,Yes,"12""",,,Yes,,
16,Leopard,Leopard Flash,12,SK,6,3,3,1,3,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Gear Destroyer,,No,Yes,"12""",,,,,
17,Leopard,Leopard Grenadier,11,SK,6,3,3,1,3,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,,,No,Yes,"12""",,,,,
18,Leopard,Leopard Wildfire,11,SK,6,3,3,1,3,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,Gear Destroyer,,No,Yes,"12""",,,,,
19,Cheetah,Cheetah,9,RC,4,3,3,1,2,5,Gear,"1.5""","W:7""","G:9""",,,,,EWAR,TD Recon,,No,Yes,"20""",,,Yes,,
20,Cheetah,Strike Cheetah,10,"RC, SK",5,3,3,1,3,5,Gear,"1.5""","W:7""","G:9""",,,,,EWAR,Recon,,No,Yes,"20""",,,,,
21,Cheetah,White Cat Cheetah,12,RC,4,3,3,1,2,5,Gear,"1.5""","W:7""","G:9""",,,,,EWAR,Recon,,No,Yes,"24""",,,,,
22,Cheetah,Metal Cat Cheetah,8,"RC, SK",5,3,3,1,3,5,Gear,"1.5""","W:7""","G:9""",,@remove comms? check cost,,,Tank Destroyer,Recon,,Yes,Yes,"12""",,,,,
23,Panther,Panther,15,SF,6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,,,,Strike,TD Recon,,No,Yes,"16""",,,Yes,,
24,Panther,Panther Sniper,15,SF,6,3,3,1,4,4,Gear,"1.5""","W:6""","G:7""",,"@why does this lose TD and comms, what's up with the lore?",,,Strike,Gear Destroyer,,No,Yes,"16""",,,,,
25,Black Cat,Black Cat,13,SF,4,3,3,1,3,5,Gear,"1.5""","W:7""","G:9""",,,,,EWAR,TD Recon,,No,Yes,"20""",,,Yes,,
26,Black Cat,Black Cat Sniper,13,SF,4,3,3,1,3,5,Gear,"1.5""","W:7""","G:9""",,@why does this lose all ECM etc? Look up lore,,,Sniper,,,No,Yes,"20""",,,,,
27,Ferret,Ferret,5,RC,4,3,3,1,2,4,Gear,"1""","W:4""","G:9""",,,,,TD Recon,,,Yes,Yes,"16""",,,Yes,,
28,Ferret,Sniper Ferret,6,RC,4,3,3,1,2,4,Gear,"1""","W:4""","G:9""",,,,,TD Recon,,,Yes,Yes,"20""",,,,,
